participant,block_number,trial_number,choice,reward,Q1,Q2,Q3
60e46e6f6bc0c2cdf5d077ce,3,11,3,0,7.124612199046689e-7,2.0533577095017182e-4,0.9997953371184469
60e46e6f6bc0c2cdf5d077ce,3,12,2,0,7.124612199046689e-7,2.0533577095017182e-4,0.05898695726215625
60e46e6f6bc0c2cdf5d077ce,3,13,2,1,7.124612199046689e-7,1.2114999674245415e-5,0.05898695726215625
60e46e6f6bc0c2cdf5d077ce,3,14,3,1,7.124612199046689e-7,0.9410016822438565,0.05898695726215625
60e46e6f6bc0c2cdf5d077ce,3,15,1,0,7.124612199046689e-7,0.9410016822438565,0.9444811779757283
60e46e6f6bc0c2cdf5d077ce,3,16,3,1,4.203676272263846e-8,0.9410016822438565,0.9444811779757283
60e46e6f6bc0c2cdf5d077ce,3,17,2,0,4.203676272263846e-8,0.9410016822438565,0.9967244104396629
60e46e6f6bc0c2cdf5d077ce,3,18,3,0,4.203676272263846e-8,0.05551815173800456,0.9967244104396629
60e46e6f6bc0c2cdf5d077ce,3,19,1,1,4.203676272263846e-8,0.05551815173800456,0.05880577194853298
60e46e6f6bc0c2cdf5d077ce,3,20,1,1,0.9410009699203721,0.05551815173800456,0.05880577194853298
60e46e6f6bc0c2cdf5d077ce,3,21,1,1,0.996519077149454,0.05551815173800456,0.05880577194853298
60e46e6f6bc0c2cdf5d077ce,3,22,1,0,0.9997946245353162,0.05551815173800456,0.05880577194853298
60e46e6f6bc0c2cdf5d077ce,3,23,2,1,0.058986915218200264,0.05551815173800456,0.05880577194853298
60e46e6f6bc0c2cdf5d077ce,3,24,2,0,0.058986915218200264,0.9442765174521003,0.05880577194853298
60e46e6f6bc0c2cdf5d077ce,3,25,1,0,0.058986915218200264,0.05571136784094477,0.05880577194853298
60e46e6f6bc0c2cdf5d077ce,4,1,2,1,0.0034802080549317486,0.05571136784094477,0.05880577194853298
60e46e6f6bc0c2cdf5d077ce,4,2,3,1,0.0034802080549317486,0.9442879173725556,0.05880577194853298
60e46e6f6bc0c2cdf5d077ce,4,3,1,0,0.0034802080549317486,0.9442879173725556,0.9444704878903969
60e46e6f6bc0c2cdf5d077ce,4,4,2,1,2.0533329018386742e-4,0.9442879173725556,0.9444704878903969
60e46e6f6bc0c2cdf5d077ce,4,5,3,1,2.0533329018386742e-4,0.9967130078935675,0.9444704878903969
60e46e6f6bc0c2cdf5d077ce,4,6,3,0,2.0533329018386742e-4,0.9967130078935675,0.9967237797089392
60e46e6f6bc0c2cdf5d077ce,4,7,1,1,2.0533329018386742e-4,0.9967130078935675,0.0588057347340975
60e46e6f6bc0c2cdf5d077ce,4,8,2,0,0.9410130822933858,0.9967130078935675,0.0588057347340975
60e46e6f6bc0c2cdf5d077ce,4,9,1,0,0.9410130822933858,0.05880509918107346,0.0588057347340975
60e46e6f6bc0c2cdf5d077ce,4,10,3,1,0.055518824358158025,0.05880509918107346,0.0588057347340975
60e46e6f6bc0c2cdf5d077ce,4,11,3,1,0.055518824358158025,0.05880509918107346,0.9444704856946438
60e46e6f6bc0c2cdf5d077ce,4,12,3,1,0.055518824358158025,0.05880509918107346,0.9967237795793824
60e46e6f6bc0c2cdf5d077ce,4,13,2,0,0.055518824358158025,0.05880509918107346,0.9998067021665384
60e46e6f6bc0c2cdf5d077ce,4,14,1,0,0.055518824358158025,0.0034694807555908404,0.9998067021665384
60e46e6f6bc0c2cdf5d077ce,4,15,3,1,0.0032755896980442983,0.0034694807555908404,0.9998067021665384
60e46e6f6bc0c2cdf5d077ce,4,16,3,0,0.0032755896980442983,0.0034694807555908404,0.9999885952572161
60e46e6f6bc0c2cdf5d077ce,4,17,2,1,0.0032755896980442983,0.0034694807555908404,0.05899835966284328
60e46e6f6bc0c2cdf5d077ce,4,18,2,1,0.0032755896980442983,0.9412056678038174,0.05899835966284328
60e46e6f6bc0c2cdf5d077ce,4,19,1,0,0.0032755896980442983,0.9965311545124182,0.05899835966284328
60e46e6f6bc0c2cdf5d077ce,4,20,2,1,1.9326061950707758e-4,0.9965311545124182,0.05899835966284328
60e46e6f6bc0c2cdf5d077ce,4,21,3,0,1.9326061950707758e-4,0.9997953371184185,0.05899835966284328
60e46e6f6bc0c2cdf5d077ce,4,22,2,0,1.9326061950707758e-4,0.9997953371184185,0.0034808832945229483
60e46e6f6bc0c2cdf5d077ce,4,23,1,1,1.9326061950707758e-4,0.05898695726215453,0.0034808832945229483
60e46e6f6bc0c2cdf5d077ce,4,24,1,0,0.9410123699871444,0.05898695726215453,0.0034808832945229483
60e46e6f6bc0c2cdf5d077ce,4,25,2,0,0.055518782330539695,0.05898695726215453,0.0034808832945229483
60e46e6f6bc0c2cdf5d077ce,5,1,2,1,0.055518782330539695,0.0034802105356430448,0.0034808832945229483
60e46e6f6bc0c2cdf5d077ce,5,2,1,0,0.055518782330539695,0.9412063008766396,0.0034808832945229483
60e46e6f6bc0c2cdf5d077ce,5,3,2,1,0.003275587218296898,0.9412063008766396,0.0034808832945229483
60e46e6f6bc0c2cdf5d077ce,5,4,3,1,0.003275587218296898,0.9965311918650455,0.0034808832945229483
60e46e6f6bc0c2cdf5d077ce,5,5,2,0,0.003275587218296898,0.9965311918650455,0.9412063405708542
60e46e6f6bc0c2cdf5d077ce,5,6,3,1,0.003275587218296898,0.05879437188224029,0.9412063405708542
60e46e6f6bc0c2cdf5d077ce,5,7,3,1,0.003275587218296898,0.05879437188224029,0.9965311942071142
60e46e6f6bc0c2cdf5d077ce,5,8,1,0,0.003275587218296898,0.05879437188224029,0.9997953394605155
60e46e6f6bc0c2cdf5d077ce,5,9,2,1,1.932604731934625e-4,0.05879437188224029,0.9997953394605155
60e46e6f6bc0c2cdf5d077ce,5,10,3,1,1.932604731934625e-4,0.9444698152692543,0.9997953394605155
60e46e6f6bc0c2cdf5d077ce,5,11,2,0,1.932604731934625e-4,0.9444698152692543,0.9999879248404314
60e46e6f6bc0c2cdf5d077ce,5,12,3,0,1.932604731934625e-4,0.05572277258276648,0.9999879248404314
60e46e6f6bc0c2cdf5d077ce,5,13,1,1,1.932604731934625e-4,0.05572277258276648,0.05899832010682027
60e46e6f6bc0c2cdf5d077ce,5,14,1,1,0.9410123699785113,0.05572277258276648,0.05899832010682027
60e46e6f6bc0c2cdf5d077ce,5,15,2,0,0.9965197497701155,0.05572277258276648,0.05899832010682027
60e46e6f6bc0c2cdf5d077ce,5,16,3,1,0.9965197497701155,0.0032876228294850263,0.05899832010682027
60e46e6f6bc0c2cdf5d077ce,5,17,3,0,0.9965197497701155,0.0032876228294850263,0.9444818484006934
60e46e6f6bc0c2cdf5d077ce,5,18,2,0,0.9965197497701155,0.0032876228294850263,0.05572348255608345
60e46e6f6bc0c2cdf5d077ce,5,19,1,0,0.9965197497701155,1.939705928241393e-4,0.05572348255608345
60e46e6f6bc0c2cdf5d077ce,5,20,3,0,0.058793696781290206,1.939705928241393e-4,0.05572348255608345
60e46e6f6bc0c2cdf5d077ce,5,21,2,0,0.058793696781290206,1.939705928241393e-4,0.00328766471945292
60e46e6f6bc0c2cdf5d077ce,5,22,2,1,0.058793696781290206,1.1444437027059704e-5,0.00328766471945292
60e46e6f6bc0c2cdf5d077ce,5,23,1,0,0.058793696781290206,0.941001642679227,0.00328766471945292
60e46e6f6bc0c2cdf5d077ce,5,24,2,0,0.0034688079967643663,0.941001642679227,0.00328766471945292
60e46e6f6bc0c2cdf5d077ce,5,25,3,0,0.0034688079967643663,0.05551814940358196,0.00328766471945292
60e46e6f6bc0c2cdf5d077ce,6,1,2,0,0.0034688079967643663,0.05551814940358196,1.9397306444960912e-4
60e46e6f6bc0c2cdf5d077ce,6,2,1,0,0.0034688079967643663,0.0032755498742762235,1.9397306444960912e-4
60e46e6f6bc0c2cdf5d077ce,6,3,3,1,2.0466066952069492e-4,0.0032755498742762235,1.9397306444960912e-4
60e46e6f6bc0c2cdf5d077ce,6,4,2,1,2.0466066952069492e-4,0.0032755498742762235,0.9410124120229466
60e46e6f6bc0c2cdf5d077ce,6,5,2,1,2.0466066952069492e-4,0.9411942257098795,0.9410124120229466
60e46e6f6bc0c2cdf5d077ce,6,6,3,0,2.0466066952069492e-4,0.9965304794115266,0.9410124120229466
60e46e6f6bc0c2cdf5d077ce,6,7,1,0,2.0466066952069492e-4,0.9965304794115266,0.055518784810769994
60e46e6f6bc0c2cdf5d077ce,6,8,2,1,1.207516724122351e-5,0.9965304794115266,0.055518784810769994
60e46e6f6bc0c2cdf5d077ce,6,9,2,0,1.207516724122351e-5,0.9997952972860171,0.055518784810769994
60e46e6f6bc0c2cdf5d077ce,6,10,3,1,1.207516724122351e-5,0.05898695491193229,0.055518784810769994
60e46e6f6bc0c2cdf5d077ce,6,11,3,0,1.207516724122351e-5,0.05898695491193229,0.9442765548047242
60e46e6f6bc0c2cdf5d077ce,6,12,1,0,1.207516724122351e-5,0.05898695491193229,0.055711370044851605
60e46e6f6bc0c2cdf5d077ce,6,13,2,1,7.124535472471241e-7,0.05898695491193229,0.055711370044851605
60e46e6f6bc0c2cdf5d077ce,6,14,1,1,7.124535472471241e-7,0.9444811778370572,0.055711370044851605
60e46e6f6bc0c2cdf5d077ce,6,15,3,0,0.9410010094763952,0.9444811778370572,0.055711370044851605
60e46e6f6bc0c2cdf5d077ce,6,16,1,0,0.9410010094763952,0.9444811778370572,0.003286950062508235
60e46e6f6bc0c2cdf5d077ce,6,17,2,0,0.05551811204328361,0.9444811778370572,0.003286950062508235
60e46e6f6bc0c2cdf5d077ce,6,18,3,1,0.05551811204328361,0.05572344299139559,0.003286950062508235
60e46e6f6bc0c2cdf5d077ce,6,19,2,1,0.05551811204328361,0.05572344299139559,0.941194898338217
60e46e6f6bc0c2cdf5d077ce,6,20,1,1,0.05551811204328361,0.9442886298251121,0.941194898338217
60e46e6f6bc0c2cdf5d077ce,6,21,3,0,0.9442765151100018,0.9442886298251121,0.941194898338217
60e46e6f6bc0c2cdf5d077ce,6,22,2,0,0.9442765151100018,0.9442886298251121,0.055529551657953535
60e46e6f6bc0c2cdf5d077ce,6,23,1,0,0.9442765151100018,0.055712082489733916,0.055529551657953535
60e46e6f6bc0c2cdf5d077ce,6,24,3,0,0.05571136770275298,0.055712082489733916,0.055529551657953535
60e46e6f6bc0c2cdf5d077ce,6,25,2,1,0.05571136770275298,0.055712082489733916,0.0032762226245228177
60e6b55696dade249aa3249b,1,1,3,0,0.5,0.5,0.5
60e6b55696dade249aa3249b,1,2,3,1,0.5,0.5,0.015642731600425647
60e6b55696dade249aa3249b,1,3,3,1,0.5,0.5,0.9692039269153898
60e6b55696dade249aa3249b,1,4,3,1,0.5,0.5,0.9990365305647658
60e6b55696dade249aa3249b,1,5,3,0,0.5,0.5,0.9999698574109241
60e6b55696dade249aa3249b,1,6,2,0,0.5,0.5,0.031284520175918706
60e6b55696dade249aa3249b,1,7,2,1,0.5,0.015642731600425647,0.031284520175918706
60e6b55696dade249aa3249b,1,8,2,0,0.5,0.9692039269153898,0.031284520175918706
60e6b55696dade249aa3249b,1,9,1,1,0.5,0.030321993765617117,0.031284520175918706
60e6b55696dade249aa3249b,1,10,1,0,0.9843572683995744,0.030321993765617117,0.031284520175918706
60e6b55696dade249aa3249b,1,11,3,0,0.030796073084610187,0.030321993765617117,0.031284520175918706
60e6b55696dade249aa3249b,1,12,3,0,0.030796073084610187,0.030321993765617117,9.78750729507467e-4
60e6b55696dade249aa3249b,1,13,1,1,0.030796073084610187,0.030321993765617117,3.0620671481857125e-5
60e6b55696dade249aa3249b,1,14,1,1,0.9696780062343828,0.030321993765617117,3.0620671481857125e-5
60e6b55696dade249aa3249b,1,15,1,0,0.9990513623565936,0.030321993765617117,3.0620671481857125e-5
60e6b55696dade249aa3249b,1,16,3,1,0.03125578463128764,0.030321993765617117,3.0620671481857125e-5
60e6b55696dade249aa3249b,1,17,3,1,0.03125578463128764,0.030321993765617117,0.9687154947811123
60e6b55696dade249aa3249b,1,18,3,0,0.03125578463128764,0.030321993765617117,0.9990212497384302
60e6b55696dade249aa3249b,1,19,3,0,0.03125578463128764,0.030321993765617117,0.031254842544009065
60e6b55696dade249aa3249b,1,20,1,1,0.03125578463128764,0.030321993765617117,9.778222509766593e-4
60e6b55696dade249aa3249b,1,21,1,0,0.9696923885237652,0.030321993765617117,9.778222509766593e-4
60e6b55696dade249aa3249b,1,22,1,0,0.030337275514063622,0.030321993765617117,9.778222509766593e-4
60e6b55696dade249aa3249b,1,23,3,0,9.491157400212929e-4,0.030321993765617117,9.778222509766593e-4
60e6b55696dade249aa3249b,1,24,3,1,9.491157400212929e-4,0.030321993765617117,3.059162359802896e-5
60e6b55696dade249aa3249b,1,25,3,1,9.491157400212929e-4,0.030321993765617117,0.9687154938723357
60e6b55696dade249aa3249b,2,1,3,1,9.491157400212929e-4,0.030321993765617117,0.9990212497099987
60e6b55696dade249aa3249b,2,2,3,1,9.491157400212929e-4,0.030321993765617117,0.9999693793422684
60e6b55696dade249aa3249b,2,3,3,1,9.491157400212929e-4,0.030321993765617117,0.9999990420184666
60e6b55696dade249aa3249b,2,4,3,0,9.491157400212929e-4,0.030321993765617117,0.9999999700291009
60e6b55696dade249aa3249b,2,5,3,0,9.491157400212929e-4,0.030321993765617117,0.03128546226319773
60e6b55696dade249aa3249b,2,6,1,1,9.491157400212929e-4,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,7,1,1,0.968744230326188,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,8,1,1,0.9990221487433351,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,9,1,0,0.9999694074689454,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,10,1,0,0.03128450609927408,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,11,1,1,9.787502891130655e-4,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,12,1,0,0.9687451574568526,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,13,1,1,0.03030764094990157,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,14,1,1,0.9696627254080338,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,15,1,0,0.9990508842888269,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,16,2,0,0.03125576967471466,0.030321993765617117,9.787802031473395e-4
60e6b55696dade249aa3249b,2,17,2,1,0.03125576967471466,9.486376434063425e-4,9.787802031473395e-4
60e6b55696dade249aa3249b,2,18,2,0,0.03125576967471466,0.9687442153687124,9.787802031473395e-4
60e6b55696dade249aa3249b,2,19,2,0,0.03125576967471466,0.030307611476234786,9.787802031473395e-4
60e6b55696dade249aa3249b,2,20,3,0,0.03125576967471466,9.481876867876507e-4,9.787802031473395e-4
60e6b55696dade249aa3249b,2,21,3,1,0.03125576967471466,9.481876867876507e-4,3.062159357844908e-5
60e6b55696dade249aa3249b,2,22,3,0,0.03125576967471466,9.481876867876507e-4,0.9687154948099606
60e6b55696dade249aa3249b,2,23,3,0,0.03125576967471466,9.481876867876507e-4,0.030306712940184055
60e6b55696dade249aa3249b,2,24,3,1,0.03125576967471466,9.481876867876507e-4,9.481595756683e-4
60e6b55696dade249aa3249b,2,25,3,1,0.03125576967471466,9.481876867876507e-4,0.9687442004121402
60e6b55696dade249aa3249b,3,1,3,1,0.03125576967471466,9.481876867876507e-4,0.9990221478074601
60e6b55696dade249aa3249b,3,2,3,1,0.03125576967471466,9.481876867876507e-4,0.9999694074396661
60e6b55696dade249aa3249b,3,3,3,0,0.03125576967471466,9.481876867876507e-4,0.9999990428975067
60e6b55696dade249aa3249b,3,4,3,0,0.03125576967471466,9.481876867876507e-4,0.03128543325745342
60e6b55696dade249aa3249b,3,5,3,1,0.03125576967471466,9.481876867876507e-4,9.7877929568908e-4
60e6b55696dade249aa3249b,3,6,3,0,0.03125576967471466,9.481876867876507e-4,0.968745158364337
60e6b55696dade249aa3249b,3,7,3,1,0.03125576967471466,9.481876867876507e-4,0.030307640978292638
60e6b55696dade249aa3249b,3,8,3,1,0.03125576967471466,9.481876867876507e-4,0.9696627254089221
60e6b55696dade249aa3249b,3,9,3,0,0.03125576967471466,9.481876867876507e-4,0.9990508842888548
60e6b55696dade249aa3249b,3,10,3,0,0.03125576967471466,9.481876867876507e-4,0.031255769674715494
60e6b55696dade249aa3249b,3,11,3,0,0.03125576967471466,9.481876867876507e-4,9.778512566931703e-4
60e6b55696dade249aa3249b,3,12,3,0,0.03125576967471466,9.481876867876507e-4,3.0592531055419604e-5
60e6b55696dade249aa3249b,3,13,3,0,0.03125576967471466,9.481876867876507e-4,9.571015772339842e-7
60e6b55696dade249aa3249b,3,14,3,1,0.03125576967471466,9.481876867876507e-4,2.9943369206221666e-8
60e6b55696dade249aa3249b,3,15,3,1,0.03125576967471466,9.481876867876507e-4,0.968714537735941
60e6b55696dade249aa3249b,3,16,3,1,0.03125576967471466,9.481876867876507e-4,0.9990212197968258
60e6b55696dade249aa3249b,3,17,3,1,0.03125576967471466,9.481876867876507e-4,0.9999693784064208
60e6b55696dade249aa3249b,3,18,3,1,0.03125576967471466,9.481876867876507e-4,0.9999990419891881
60e6b55696dade249aa3249b,3,19,3,0,0.03125576967471466,9.481876867876507e-4,0.999999970028185
60e6b55696dade249aa3249b,3,20,3,0,0.03125576967471466,9.481876867876507e-4,0.03128546226316903
60e6b55696dade249aa3249b,3,21,2,0,0.03125576967471466,9.481876867876507e-4,9.787802031464427e-4
60e6b55696dade249aa3249b,3,22,3,1,0.03125576967471466,2.9664492460977968e-5,9.787802031464427e-4
60e6b55696dade249aa3249b,3,23,1,0,0.03125576967471466,2.9664492460977968e-5,0.9687451583927271
60e6b55696dade249aa3249b,3,24,3,0,9.778512566931442e-4,2.9664492460977968e-5,0.9687451583927271
60e6b55696dade249aa3249b,3,25,3,0,9.778512566931442e-4,2.9664492460977968e-5,0.030307640979180872
60e6b55696dade249aa3249b,4,2,3,1,9.778512566931442e-4,2.9664492460977968e-5,9.481886098011011e-4
60e6b55696dade249aa3249b,4,3,3,1,9.778512566931442e-4,2.9664492460977968e-5,0.9687442013204866
60e6b55696dade249aa3249b,4,4,3,0,9.778512566931442e-4,2.9664492460977968e-5,0.9990221478358782
60e6b55696dade249aa3249b,4,5,3,1,9.778512566931442e-4,2.9664492460977968e-5,0.031254870641406585
60e6b55696dade249aa3249b,4,6,3,0,9.778512566931442e-4,2.9664492460977968e-5,0.9696923599291656
60e6b55696dade249aa3249b,4,7,3,1,9.778512566931442e-4,2.9664492460977968e-5,0.03033727461946828
60e6b55696dade249aa3249b,4,8,3,1,9.778512566931442e-4,2.9664492460977968e-5,0.9696636525111821
60e6b55696dade249aa3249b,4,9,3,0,9.778512566931442e-4,2.9664492460977968e-5,0.9990509132936813
60e6b55696dade249aa3249b,4,10,3,0,9.778512566931442e-4,2.9664492460977968e-5,0.03125577058214507
60e6b55696dade249aa3249b,4,11,1,1,9.778512566931442e-4,2.9664492460977968e-5,9.778512850825288e-4
60e6b55696dade249aa3249b,4,12,1,0,0.9687451293302041,2.9664492460977968e-5,9.778512850825288e-4
60e6b55696dade249aa3249b,4,13,2,0,0.03030764006994624,2.9664492460977968e-5,9.778512850825288e-4
60e6b55696dade249aa3249b,4,14,2,1,0.03030764006994624,9.280674570208688e-7,9.778512850825288e-4
60e6b55696dade249aa3249b,4,15,2,0,0.03030764006994624,0.9687145658341718,9.778512850825288e-4
60e6b55696dade249aa3249b,4,16,3,0,0.03030764006994624,0.03030668387674329,9.778512850825288e-4
60e6b55696dade249aa3249b,4,17,3,1,0.03030764006994624,0.03030668387674329,3.059253194359401e-5
60e6b55696dade249aa3249b,4,18,3,0,0.03030764006994624,0.03030668387674329,0.9687154939007537
60e6b55696dade249aa3249b,4,19,3,0,0.03030764006994624,0.03030668387674329,0.030306712911739087
60e6b55696dade249aa3249b,4,20,3,1,0.03030764006994624,0.03030668387674329,9.481595747783851e-4
60e6b55696dade249aa3249b,4,21,3,1,0.03030764006994624,0.03030668387674329,0.9687442004121123
60e6b55696dade249aa3249b,4,22,3,1,0.03030764006994624,0.03030668387674329,0.9990221478074592
60e6b55696dade249aa3249b,4,23,3,1,0.03030764006994624,0.03030668387674329,0.9999694074396661
60e6b55696dade249aa3249b,4,24,3,0,0.03030764006994624,0.03030668387674329,0.9999990428975067
60e6b55696dade249aa3249b,4,25,3,1,0.03030764006994624,0.03030668387674329,0.03128543325745342
60e6b55696dade249aa3249b,5,1,3,1,0.03030764006994624,0.03030668387674329,0.9696933160948378
60e6b55696dade249aa3249b,5,2,3,0,0.03030764006994624,0.03030668387674329,0.9990518413327059
60e6b55696dade249aa3249b,5,3,3,0,0.03030764006994624,0.03030668387674329,0.03125579961627872
60e6b55696dade249aa3249b,5,4,3,1,0.03030764006994624,0.03030668387674329,9.778521934289634e-4
60e6b55696dade249aa3249b,5,5,3,0,0.03030764006994624,0.03030668387674329,0.9687451293595102
